Timestamp,Weighted_Price
2015-09-01,227.1631
2015-09-02,228.6428
2015-09-03,226.5658
2015-09-04,230.0509
2015-09-06,239.1289
2015-09-07,240.503
2015-09-08,243.5587
2015-09-09,237.9452
2015-09-10,238.7763
2015-09-11,240.0007956
2015-09-13,230.5048
2015-09-14,230.21
2015-09-15,229.9118
2015-09-16,228.464
2015-09-17,232.746
2015-09-18,232.354
2015-09-20,230.6597
2015-09-21,226.4528
2015-09-22,229.8831
2015-09-23,229.8658
2015-09-24,233.9255
2015-09-25,234.9767
2015-09-27,232.8347
2015-09-28,239.2765
2015-09-29,237.2262
2015-09-30,236.0463
2015-10-01,237.7358
2015-10-02,237.2593
2015-10-04,238.6566
2015-10-05,240.3238
2015-10-06,246.444
2015-10-07,243.2229
2015-10-08,242.9008
2015-10-09,244.2051
2015-10-11,247.5392
2015-10-12,245.5661
2015-10-13,249.4051
2015-10-14,252.6956
2015-10-15,254.6295531
2015-10-16,262.3735
2015-10-19,264.2094
2015-10-20,270.2664
2015-10-21,267.0187
2015-10-22,273.573
2015-10-23,277.3884
2015-10-26,285.5159
2015-10-27,294.8094
2015-10-28,303.6366
2015-10-29,313.9073
2015-10-30,325.8006
2015-11-02,350.7678
2015-11-03,398.2369
2015-11-04,404.3588
2015-11-05,387.473
2015-11-06,372.826
2015-11-09,380.644
2015-11-10,336.873
2015-11-11,305.983
2015-11-12,337.955
2015-11-13,337.372
2015-11-16,331.353
2015-11-17,335.111
2015-11-18,335.447
2015-11-19,325.568
2015-11-20,321.417
2015-11-23,322.829
2015-11-24,319.979
2015-11-25,328.169
2015-11-26,356.245
2015-11-27,359.011
2015-11-30,378.265
2015-12-01,363.45
2015-12-02,358.82
2015-12-03,360.954
2015-12-04,362.767
2015-12-07,394.355
2015-12-08,412.93
2015-12-09,417.368
2015-12-10,416.91
2015-12-11,452.415
2015-12-14,443.277
2015-12-15,464.999
2015-12-16,453.914
2015-12-17,456.473
2015-12-18,463.816
2015-12-21,437.809
2015-12-22,436.237
2015-12-23,442.821
2015-12-24,454.907
2015-12-25,455.742
2015-12-28,420.708
2015-12-29,432.154
2015-12-30,426.811
2015-12-31,431.139
2016-01-01,434.427
2016-01-04,433.534
2016-01-05,432.115
2016-01-06,431.343
2016-01-07,456.434
2016-01-08,454.6963
2016-01-11,448.349
2016-01-12,445.792
2016-01-13,432.12
2016-01-14,429.243
2016-01-15,365.912
2016-01-17,386.356
2016-01-18,385.132
2016-01-19,379.015
2016-01-20,418.848
2016-01-21,407.815
2016-01-22,377.21
2016-01-25,392.326
2016-01-26,392.456
2016-01-27,394.491
2016-01-28,379.552
2016-01-29,378.912
2016-02-01,371.041
2016-02-02,372.868
2016-02-03,368.124
2016-02-04,388.376
2016-02-05,385.733
2016-02-08,371.136
2016-02-09,373.909
2016-02-10,379.829
2016-02-11,377.058
2016-02-12,382.72
2016-02-14,404.144
2016-02-15,399.379
2016-02-16,407.013
2016-02-17,416.85
2016-02-18,421.422
2016-02-19,419.377
2016-02-22,437.803
2016-02-23,420.302
2016-02-24,423.187
2016-02-25,423.142
2016-02-26,427.029
2016-02-29,436.919
2016-03-01,431.371
2016-03-02,424.485
2016-03-03,420.171
2016-03-04,409.408
2016-03-07,413.74
2016-03-08,411.877
2016-03-09,412.319
2016-03-10,416.292
2016-03-11,419.299
2016-03-14,414.585
2016-03-15,415.641
2016-03-16,416.544
2016-03-17,418.4
2016-03-18,408.28
2016-03-21,411.091
2016-03-22,416.36
2016-03-23,418.076
2016-03-24,414.883
2016-03-25,415.743
2016-03-28,422.756
2016-03-29,415.547
2016-03-30,412.597
2016-03-31,415.366
2016-04-01,416.754
2016-04-04,419.437
2016-04-05,422.651
2016-04-06,421.656
2016-04-07,421.076
2016-04-08,418.474
2016-04-11,422.584
2016-04-12,426.181
2016-04-13,424.269
2016-04-14,424.932
2016-04-15,429.966
2016-04-18,428.506
2016-04-19,436.37
2016-04-20,441.916
2016-04-21,451.083
2016-04-22,447.488
2016-04-25,460.466
2016-04-26,467.856
2016-04-27,444.789
2016-04-28,449.381
2016-04-29,456.566
2016-05-02,444.488
2016-05-03,450.3
2016-05-04,447.119
2016-05-05,448.922
2016-05-06,461.62
2016-05-09,461.747
2016-05-10,450.326
2016-05-11,452.179
2016-05-12,454.731
2016-05-13,456.007
2016-05-16,454.893
2016-05-17,452.422
2016-05-18,453.371
2016-05-19,440.539
2016-05-20,441.888
2016-05-23,443.175
2016-05-24,445.769
2016-05-25,449.055
2016-05-26,453.732
2016-05-27,473.864
2016-05-29,524.624
2016-05-30,534.224
2016-05-31,531.407
2016-06-01,539.168
2016-06-02,538.832
2016-06-03,570.445
2016-06-06,585.563
2016-06-07,577.9106943
2016-06-08,583.139
2016-06-09,577.607
2016-06-10,579.2276479
2016-06-13,704.2918522
2016-06-14,685.9321316
2016-06-15,693.227
2016-06-16,765.463
2016-06-17,749.419
2016-06-20,734.1617358
2016-06-21,664.9965294
2016-06-22,591.895
2016-06-23,623.2062564
2016-06-24,661.4166052
2016-06-27,648.3
2016-06-28,646.843
2016-06-29,637.437
2016-06-30,671.616
2016-07-01,677.71
2016-07-03,664.7451003
2016-07-04,678.7005717
2016-07-05,667.530518
2016-07-06,675.919
2016-07-07,638.62
2016-07-08,665.7445063
2016-07-11,649.07
2016-07-12,670.948
2016-07-13,658.15
2016-07-14,659.576
2016-07-15,665.6869915
2016-07-18,674.7874378
2016-07-19,674.557389
2016-07-20,670.8934741
2016-07-21,665.3643845
2016-07-22,651.09
2016-07-25,654.5186383
2016-07-26,651.31
2016-07-27,655.6182633
2016-07-28,655.8904302
2016-07-29,657.3423792
2016-08-01,605.747
2016-08-02,517.1349294
2016-08-03,567.3810616
2016-08-04,576.6037067
2016-08-05,576.0338
2016-08-08,590.7125
2016-08-09,585.3025
2016-08-10,592.2668433
2016-08-11,587.6138
2016-08-12,586.53
2016-08-15,567.7342837
2016-08-16,578.2231511
2016-08-17,571.461915
2016-08-18,572.2684198
2016-08-19,573.4919907
2016-08-22,585.2175
2016-08-23,582.0038
2016-08-24,577.8880532
2016-08-25,576.1163
2016-08-26,578.1038
2016-08-29,572.5102284
2016-08-30,576.08
2016-08-31,571.7582827
2016-09-01,571.59
2016-09-02,573.9625
2016-09-04,608.6888
2016-09-05,606.6438
2016-09-06,610.6838
2016-09-07,614.3264886
2016-09-08,625.4675
2016-09-09,621.9125
2016-09-12,605.8312052
2016-09-13,606.645
2016-09-14,608.425
2016-09-15,605.5838
2016-09-16,606.5533659
2016-09-19,608.6176343
2016-09-20,607.7688126
2016-09-21,595.8402492
2016-09-22,594.9588
2016-09-23,601.8925
2016-09-26,606.0970645
2016-09-27,604.2075
2016-09-28,603.555
2016-09-29,604.6375
2016-09-30,608.2575
2016-10-03,611.9609027
2016-10-04,609.2425
2016-10-05,611.6363
2016-10-06,610.98
2016-10-07,616.2188
2016-10-10,614.3138
2016-10-11,640.7
2016-10-12,635.6163
2016-10-13,634.6223388
2016-10-14,638.18
2016-10-17,637.4825
2016-10-18,635.465
2016-10-19,628.4375
2016-10-20,628.5425
2016-10-21,629.7188
2016-10-24,648.7663
2016-10-25,652.6338
2016-10-26,673.4175
2016-10-27,683.3725
2016-10-28,687.5588
2016-10-31,698.5763
2016-11-01,729.205
2016-11-02,734.1638
2016-11-03,686.0613
2016-11-04,702.11
2016-11-07,706.0925
2016-11-08,708.94
2016-11-09,721.1775
2016-11-10,713.2141433
2016-11-11,715.6425
2016-11-14,705.55
2016-11-15,712.1588998
2016-11-16,740.8993549
2016-11-17,738.48
2016-11-18,748.4263
2016-11-21,736.505
2016-11-22,748.1225
2016-11-23,741.1662465
2016-11-24,736.7486937
2016-11-25,738.2039432
2016-11-28,731.8424614
2016-11-29,731.81
2016-11-30,742.3588
2016-12-01,753.055
2016-12-02,771.1713
2016-12-05,752.24
2016-12-06,758.6925
2016-12-07,763.915
2016-12-08,768.675
2016-12-09,769.8413
2016-12-12,778.4323012
2016-12-13,778.215
2016-12-14,775.8913
2016-12-15,775.5725
2016-12-16,781.3375
2016-12-19,790.1163
2016-12-20,799.7213
2016-12-21,826.6207679
2016-12-22,859.3663
2016-12-23,917.0988
2016-12-26,902.6063
2016-12-27,929.115
2016-12-28,977.14
2016-12-29,971.7213
2016-12-30,960.925
2017-01-02,1019.1988
2017-01-03,1035.5313
2017-01-04,1130.849516
2017-01-05,990.6675
2017-01-06,894.0325
2017-01-09,901.878888
2017-01-10,905.7594627
2017-01-11,784.2775
2017-01-12,799.4275
2017-01-13,824.4988
2017-01-15,821.9125
2017-01-16,828.31
2017-01-17,904.1525
2017-01-18,873.935
2017-01-19,896.89
2017-01-20,891.4588
2017-01-23,918.9075
2017-01-24,885.7888
2017-01-25,893.4738
2017-01-26,915.36
2017-01-27,918.2875
2017-01-30,920.9911459
2017-01-31,968.2663
2017-02-01,986.5728903
2017-02-02,1008.403318
2017-02-03,1015.4425
2017-02-06,1024.511089
2017-02-07,1051.5
2017-02-08,1055.3013
2017-02-09,981.705
2017-02-10,992.1113
2017-02-13,996.1039359
2017-02-14,1010.102162
2017-02-15,1008.8813
2017-02-16,1034.9038
2017-02-17,1056.558091
2017-02-19,1053.5025
2017-02-20,1082.016823
2017-02-21,1125.408815
2017-02-22,1123.305
2017-02-23,1185.654785
2017-02-24,1180.871
2017-02-27,1193.129515
2017-02-28,1190.331
2017-03-01,1227.477149
2017-03-02,1262.081
2017-03-03,1289.540612
2017-03-06,1280.986
2017-03-07,1233.056508
2017-03-08,1149.631
2017-03-09,1191.236722
2017-03-10,1100.01059
2017-03-13,1243.264922
2017-03-14,1246.556739
2017-03-15,1258.457
2017-03-16,1217.314541
2017-03-17,1074.09387
2017-03-20,1036.332012
2017-03-21,1112.701532
2017-03-22,1039.840173
2017-03-23,1029.139414
2017-03-24,940.0206266
2017-03-26,954.47666
2017-03-27,1042.605073
2017-03-28,1044.722
2017-03-29,1038.617198
2017-03-30,1031.492906
2017-03-31,1078.274711
2017-04-02,1098.068
2017-04-03,1139.308275
2017-04-04,1140.49759
2017-04-05,1132.339905
2017-04-06,1194.211
2017-04-07,1189.775124
2017-04-09,1187.699
2017-04-10,1210.515
2017-04-11,1226.618
2017-04-12,1218.299
2017-04-13,1174.209
2017-04-14,1183.687
2017-04-16,1186.31
2017-04-17,1205.143
2017-04-18,1217.58
2017-04-19,1225.721
2017-04-20,1253.904
2017-04-21,1254.9875
2017-04-23,1247.8388
2017-04-24,1249.9563
2017-04-25,1263.045
2017-04-26,1287.32
2017-04-27,1331.3125
2017-04-28,1321.205
2017-04-30,1349.8863
2017-05-01,1408.445
2017-05-02,1442.245
2017-05-03,1485.8175
2017-05-04,1499.36
2017-05-05,1506.0438
2017-05-07,1557.8838
2017-05-08,1633.38
2017-05-09,1700.1775
2017-05-10,1747.3175
2017-05-11,1808.7788
2017-05-12,1700.7725
2017-05-15,1696.13
2017-05-16,1716.315
2017-05-17,1804.4513
2017-05-18,1889.4088
2017-05-19,1972.9013
2017-05-21,2053.8788
2017-05-22,2109.3963
2017-05-23,2292.7025
2017-05-24,2448.1313
2017-05-25,2366.9725
2017-05-26,2262.36
2017-05-28,2219.4875
2017-05-29,2286.2663
2017-05-30,2167.6438
2017-05-31,2329.0775
2017-06-01,2436.0363
2017-06-02,2514.2275
2017-06-04,2556.405
2017-06-05,2721.5525
2017-06-06,2721.5525
2017-06-07,2716.0588
2017-06-08,2716.0588
2017-06-09,2817.0638
2017-06-11,3013.7138
2017-06-12,2701.255
2017-06-13,2736.1888
2017-06-14,2503.401273
2017-06-15,2444.493712
2017-06-16,2513.810348
2017-06-18,2577.219361
2017-06-19,2620.136451
2017-06-20,2777.792656
2017-06-21,2717.003108
2017-06-22,2724.912213
2017-06-23,2737.746231
2017-06-25,2606.863235
2017-06-26,2488.194163
2017-06-27,2531.348999
2017-06-28,2575.43777
2017-06-29,2561.681435
2017-06-30,2490.753488
2017-07-02,2518.545694
2017-07-03,2576.714657
2017-07-04,2610.997575
2017-07-05,2607.219302
2017-07-06,2612.670428
2017-07-07,2509.21821
2017-07-10,2363.515682
2017-07-11,2353.910661
2017-07-12,2387.328912
2017-07-13,2364.321266
2017-07-14,2228.728791
2017-07-17,2181.286081
2017-07-18,2303.889355
2017-07-19,2274.621365
2017-07-20,2766.825119
2017-07-21,2658.074912
2017-07-23,2731.604007
2017-07-24,2751.34707
2017-07-25,2563.747895
2017-07-26,2507.389685
2017-07-27,2649.441201
2017-07-28,2798.829313
2017-07-30,2740.323592
2017-07-31,2871.368015
2017-08-01,2737.763792
2017-08-02,2697.850902
2017-08-03,2777.367994
2017-08-04,2845.897162
2017-08-06,3189.732453
2017-08-07,3356.709738
2017-08-08,3410.45008
2017-08-09,3330.897825
2017-08-10,3367.905387
2017-08-11,3562.587663
2017-08-13,4023.254522
2017-08-14,4175.695291
2017-08-15,4149.308759
2017-08-16,4262.558791
2017-08-17,4286.917435
2017-08-18,4097.685802
2017-08-20,4001.228632
2017-08-21,3935.229933
2017-08-22,4008.416685
2017-08-23,4069.080239
2017-08-24,4167.289177
2017-08-25,4199.892032
2017-08-27,4116.468739
2017-08-28,4216.242773
2017-08-29,4394.063436
2017-08-30,4553.806527
2017-08-31,4702.938163
2017-09-01,4863.193049
2017-09-03,4632.462331
2017-09-04,4317.185188
2017-09-05,4447.875592
2017-09-06,4592.250278
2017-09-07,4584.820275
2017-09-08,4285.207939
2017-09-10,4132.664642
2017-09-11,4164.976212
2017-09-12,4130.956285
2017-09-13,3883.652001
2017-09-14,3100.668155
2017-09-15,3587.943122
2017-09-18,4012.285825
2017-09-19,3898.934732
2017-09-20,3858.020951
2017-09-21,3628.058588
2017-09-22,3622.183039
2017-09-24,3672.30508
2017-09-25,3866.705153
2017-09-26,3852.935205
2017-09-27,4134.212415
2017-09-28,4134.884951
2017-09-29,4130.415246
2017-10-01,4347.578735
2017-10-02,4383.325497
2017-10-03,4319.069212
2017-10-04,4231.464187
2017-10-05,4290.380404
2017-10-06,4347.54724
2017-10-09,4758.72165
2017-10-10,4769.477347
2017-10-11,4807.925895
2017-10-12,5331.619302
2017-10-13,5610.493162
2017-10-15,5684.047104
2017-10-16,5728.932751
2017-10-17,5643.859077
2017-10-18,5592.782224
2017-10-19,5696.380141
2017-10-20,5952.771359
2017-10-22,6003.464019
2017-10-23,5959.983041
2017-10-24,5550.081585
2017-10-25,5704.874807
2017-10-26,5883.053184
2017-10-27,5775.516665
2017-10-29,6123.549771
2017-10-30,6104.388709
2017-10-31,6368.651641
2017-11-01,6714.788987
2017-11-02,7059.793861
2017-11-03,7234.738382
2017-11-06,7103.046081
2017-11-07,7166.741372
2017-11-08,7461.824435
2017-11-09,7186.292775
2017-11-10,6656.839694
2017-11-13,6423.091402
2017-11-14,6652.21678
2017-11-15,7297.668836
2017-11-16,7814.944404
2017-11-17,7783.542465
2017-11-20,8220.509966
2017-11-21,8114.13368
2017-11-22,8257.123895
2017-11-23,8117.664348
2017-11-24,8278.128436
2017-11-27,9831.40293
2017-11-28,10257.06742
2017-11-29,9875.892308
2017-11-30,10406.18772
2017-12-01,10995.72355
2017-12-04,11634.98496
2017-12-05,12174.25374
2017-12-06,13876.47358
2017-12-07,18491.18155
2017-12-08,16908.00495
2017-12-11,17106.50515
2017-12-12,17249.92021
2017-12-13,16525.04449
2017-12-14,16865.36166
2017-12-15,17978.63056
2017-12-18,19188.05396
2017-12-19,18174.18676
2017-12-20,17059.88835
2017-12-21,16355.23823
2017-12-22,14084.82493
2017-12-25,14302.75371
2017-12-26,16616.68206
2017-12-27,16373.08108
2017-12-28,15067.8995
2017-12-29,15096.55944
2017-12-31,14839.59079
2018-01-01,14093.60683
2018-01-02,15321.93285
2018-01-03,15583.88554
2018-01-04,15976.36519
2018-01-05,18336.92298
2018-01-08,15900.36502
2018-01-09,15604.72341
2018-01-10,15509.27013
2018-01-11,14050.56961
2018-01-12,14759.29463
2018-01-14,14476.58897
2018-01-15,14411.99771
2018-01-16,11723.91352
2018-01-17,11415.39284
2018-01-18,11569.42499
2018-01-19,11758.46933
2018-01-22,10991.59501
2018-01-23,10894.00091
2018-01-24,11277.11597
2018-01-25,11225.25446
2018-01-26,11044.90724
2018-01-29,11157.66389
2018-01-30,11095.21069
2018-01-31,9989.689777
2018-02-01,10114.49509
2018-02-02,9070.555449
2018-02-05,8315.517491
2018-02-06,6852.052701
2018-02-07,7711.220329
2018-02-08,7611.610278
2018-02-09,8208.572084
2018-02-12,8168.63778
2018-02-13,8911.398574
2018-02-14,8518.269076
2018-02-15,9428.025607
2018-02-16,10112.58014
2018-02-18,11006.64769
2018-02-19,10523.42931
2018-02-20,11103.09004
2018-02-21,11502.37705
2018-02-22,9973.59212
2018-02-23,10032.86311
2018-02-26,9699.517182
2018-02-27,10355.57813
2018-02-28,10709.38843
2018-03-01,10346.66493
2018-03-02,10859.55219
2018-03-05,11286.67629
2018-03-06,11526.42093
2018-03-07,10727.71625
2018-03-08,9999.682486
2018-03-09,9420.85489
2018-03-12,9512.456113
2018-03-13,9232.70588
2018-03-14,9216.530976
2018-03-15,8307.223386
2018-03-16,8359.365283
2018-03-19,8217.8422
2018-03-20,8640.52143
2018-03-21,8926.820496
2018-03-22,8970.317906
2018-03-23,8736.385769
2018-03-26,8478.638196
2018-03-27,8186.196063
2018-03-28,7836.763044
2018-03-29,7930.779541
2018-03-30,7126.895193
2018-04-02,6836.572327
2018-04-03,7080.417232
2018-04-04,7464.356094
2018-04-05,6845.315978
2018-04-06,6855.422305
2018-04-09,6984.808966
2018-04-10,6778.49157
2018-04-11,6829.316504
2018-04-12,6925.101995
2018-04-13,7836.396994
2018-04-16,8258.067084
2018-04-17,8030.999262
2018-04-18,7873.63551
2018-04-19,8097.418233
2018-04-20,8277.460639
2018-04-23,8769.011999
2018-04-24,8881.391704
2018-04-25,9716.489757
2018-04-26,8825.2025
2018-04-27,9221.868026
2018-04-30,9325.628851
2018-05-01,9198.18951
2018-05-02,9024.387512
2018-05-03,9122.653014
2018-05-04,9551.135184
2018-05-07,9583.871746
2018-05-08,9308.265026
2018-05-09,9149.517833
2018-05-10,9248.960396
2018-05-11,8969.940376
2018-05-14,8683.986203
2018-05-15,8696.974004
2018-05-16,8473.348649
2018-05-17,8343.125222
2018-05-18,8056.053192
2018-05-21,8443.260246
2018-05-22,8354.996336
2018-05-23,8009.299507
2018-05-24,7556.316043
2018-05-25,7563.435465
2018-05-27,7328.871674
2018-05-28,7326.64394
2018-05-29,7111.068925
2018-05-30,7451.230837
2018-05-31,7380.851558
2018-06-01,7460.16695
2018-06-04,7639.879446
2018-06-05,7463.654996
2018-06-06,7569.01134
2018-06-07,7605.578489
2018-06-08,7613.777393
2018-06-11,6767.499485
2018-06-12,6880.133649
2018-06-13,6581.828075
2018-06-14,6334.098906
2018-06-15,6644.72068
2018-06-18,6418.850002
2018-06-19,6677.533403
2018-06-20,6708.68182
2018-06-21,6714.375461
2018-06-22,6690.832152
2018-06-25,6159.707194
2018-06-26,6241.848712
2018-06-27,6069.872606
2018-06-28,6117.03641
2018-06-29,5879.988974
2018-07-02,6312.877243
2018-07-03,6595.547313
2018-07-04,6497.607355
2018-07-05,6562.721737
2018-07-06,6537.740872
2018-07-09,6700.635479
2018-07-10,6648.256796
2018-07-11,6303.380665
2018-07-12,6373.234805
2018-07-13,6230.590197
2018-07-16,6349.695837
2018-07-17,6741.69196
2018-07-18,7303.37306
2018-07-19,7334.771372
2018-07-20,7442.800739
2018-07-23,7395.866405
2018-07-24,7704.995679
2018-07-25,8422.373923
2018-07-26,8144.553482
2018-07-27,7929.079244
2018-07-30,8197.593576
2018-07-31,8185.921138
2018-08-01,7738.249305
2018-08-02,7612.300754
2018-08-03,7540.633151
2018-08-06,7036.609331
2018-08-07,6926.116779
2018-08-08,6711.732422
2018-08-09,6259.52771
2018-08-10,6531.249787
2018-08-13,6318.407222
2018-08-14,6283.996251
2018-08-15,6212.22604
2018-08-16,6267.768709
2018-08-17,6309.385226
2018-08-20,6475.49402
2018-08-21,6242.882438
2018-08-22,6467.27173
2018-08-23,6336.656327
2018-08-24,6521.065718
2018-08-27,6728.288003
2018-08-28,6911.096029
2018-08-29,7075.983405
2018-08-30,7046.748947
2018-08-31,7024.145107
2018-09-02,7211.270768
2018-09-03,7305.272801
2018-09-04,7260.897517
2018-09-05,7359.462993
2018-09-06,6764.926774
2018-09-07,6498.279613
2018-09-10,6260.764806
2018-09-11,6308.135475
2018-09-12,6278.91707
2018-09-13,6330.574238
2018-09-14,6486.46163
2018-09-17,6506.248493
2018-09-18,6250.121727
2018-09-19,6347.069255
2018-09-20,6383.753841
2018-09-21,6491.885242
2018-09-24,6711.029452
2018-09-25,6596.187313
2018-09-26,6441.311545
2018-09-27,6462.795635
2018-09-28,6704.704246
2018-10-01,6626.037956
2018-10-02,6598.84126
2018-10-03,6524.607698
2018-10-04,6499.262379
2018-10-05,6578.701809
2018-10-08,6584.832153
2018-10-09,6653.089451
2018-10-10,6633.74573
2018-10-11,6582.455082
2018-10-12,6234.367641
2018-10-15,6328.55476
2018-10-16,6659.875508
